model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.8064516129032258,0.9555555555555556,0.8113207547169812,0.8775510204081632,0.8563941299790356
gaussian_naive_bayes,0.8709677419354839,0.9090909090909091,0.9433962264150944,0.9259259259259259,0.8018867924528302
decision_tree,0.8548387096774194,0.9074074074074074,0.9245283018867925,0.9158878504672897,0.6844863731656184
random_forest,0.8709677419354839,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.7955974842767296
gradient_boosting,0.8387096774193549,0.9215686274509803,0.8867924528301887,0.9038461538461539,0.720125786163522
svc_rbf,0.4838709677419355,0.8888888888888888,0.4528301886792453,0.6,0.4350104821802935
knn,0.8064516129032258,0.847457627118644,0.9433962264150944,0.8928571428571429,0.7924528301886793
