Model,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,roc_auc_mean
SVM,0.8673717609730301,0.023412250062452976,0.8855139686412187,0.9740740740740741,0.9275115520882112,0.9378968253968253
LogisticRegression,0.9193019566367001,0.043199960649927885,0.9424606428054704,0.9666666666666666,0.9541097590309985,0.9351851851851851
RandomForest,0.9030671602326812,0.040616255079921997,0.9356044657097289,0.9555555555555555,0.9448765632251872,0.9311507936507937
DecisionTree,0.8643574828133262,0.04600071676517975,0.9287096607096605,0.9148148148148149,0.9213984180316187,0.7156415343915343
